Yearof Publication,Artist,CountToDate,TotalAreaText(cm^2)
,Zoe Leonard,1,
,Zoe Crosher,1,
,Zlatko Bourek,1,
,Zivko Djak,1,
,Zilvinas Kempinas,1,
,Zigi Ben-Haim,1,
,Zhang Peili,1,
,Zhang Huan,1,
,Zhang Dali,1,
,Zeke Berman,1,
,Ze'eva Cohen,1,
,Zbyněk Baladrán,1,
,Zak Kitnick,1,
,Zadik Zadikian,1,
,Zackary Drucker,1,
,Zach Adams,1,
,Yvonne Meier,1,
,Yvonne Jacquette,1,
,Yvonne Delattre,1,
,Yves Tanguy,1,
,Yves Klein,1,
,Yves Béhar,1,
,Yusaku Kamekura,1,
,Yuri Albert,1,
,Yung Chang,1,
,Yuki Hartman,1,
,Yto Barrada,1,
,Yousuf Karsh,1,
,Yoshito Takahashi,1,
,Yoshio Taniguchi,1,
,Yoshiko Shimada,1,
,Yoshiko Chuma,1,
,Yoshie Ueki,1,
,Yoshi Wada,1,
,Yoon Ja Choi,1,
,Yoon,1,
,Yoko Ono,1,
,Yoko Akai,1,
,Ynez Johnston,1,
,Yin Xiuzhen,1,
,YES New York,1,
,Yeohlee Teng,1,
,Yee Jan Bao,1,
2020,Yayoi Kusama,2,76.95
2016,Yayoi Kusama,1,75.44
,Yasuhiro Suzuki,1,
,Yasuhiro Ishimoto,1,
,Yaron Leshem,1,
,Yann Weymouth,1,
,Yang Lian,1,
,Yan-kei So,1,
,Yan Chung-Hsien,1,
,Yakov Ruklevsky,1,
,Yael Bartana,1,
,Y-Space,1,
,Xu Bing,1,
,Xiuwen Cui,1,
,Xiomara De Oliver,1,
,Xinping Wang,1,
,Xefirotarch,1,
,Xavier Le Roy,1,
,Wynn Bullock,1,
,WORK Architecture Company,1,
,Wolfram Erber,1,
,Wolfgang Tillmans,1,
,Wolfgang Plöger,1,
,Wolfgang Laib,1,
,Wolfgang Gäfgen,1,
,Wolf Kahlen,1,
,Wojciech Fangor,1,
,Witold Gordon,1,
2020,Winslow Homer,13,146.01
2016,Winslow Homer,12,143.52
2013,Winslow Homer,11,135.36
2009,Winslow Homer,10,133.41
2005,Winslow Homer,9,131.72
2001,Winslow Homer,8,185.4
1996,Winslow Homer,7,139.5
