ArtistName,EditionNumber,NumberofWorldCatPublications,ArtistUniqueID ,ArtistNationality,ArtistGender,ArtistRace,ArtistEthnicity,TitleofWork,Year,WidthofActualWork(cm),HeightofWorkinJanson(cm),WidthofWorkinJanson(cm),LengthofText(cm),WidthofText(cm),AreaWorkinJanson(cm^2),AreaTextinJanson(cm^2),TotalSpace(cm^2),PageArea(cm^2),SpaceRatioPerPage,Book,,,,,,,,,,,WidthofActualWork(in),,HeightofWorkinJanson(in inches),WidthofWorkinJanson(in),LengthofText(in),WidthofText(in)
A. R. Penck,5,,1,German,Male,White,Not Hispanic or Latinx,The Demon of Curiosity,1995,280.035,8.5725,8.89,12.065,8.89,76.209525,107.25785,183.467375,618.45,0.2966567629,janson,,,,,,,,,,,110.25,,3.375,3.5,4.75,3.5
A. R. Penck,6,,1,German,Male,White,Not Hispanic or Latinx,The Demon of Curiosity,2001,280.035,8.5725,8.89,10.795,8.89,76.209525,95.96755,172.177075,640.2,0.2689426351,janson,,,,,,,,,,,110.25,,3.375,3.5,4.25,3.5
Aaron Siskind,3,,2,American,Male,White,Not Hispanic or Latinx,New York 2,1986,,11.1125,8.89,3.175,8.89,98.790125,28.22575,127.015875,599.96,0.2117072388,janson,,,,,,,,,,,,,4.375,3.5,1.25,3.5
Aaron Siskind,4,,2,American,Male,White,Not Hispanic or Latinx,New York 2,1991,,11.1125,8.89,3.175,8.89,98.790125,28.22575,127.015875,592.8,0.2142642966,janson,,,,,,,,,,,,,4.375,3.5,1.25,3.5
Aaron Siskind,5,,2,American,Male,White,Not Hispanic or Latinx,New York 2,1995,,10.795,8.89,3.175,8.89,95.96755,28.22575,124.1933,618.45,0.2008138087,janson,,,,,,,,,,,,,4.25,3.5,1.25,3.5
Aaron Siskind,6,,2,American,Male,White,Not Hispanic or Latinx,New York 2,2001,,10.795,8.89,3.175,8.89,95.96755,28.22575,124.1933,640.2,0.1939914089,janson,,,,,,,,,,,,,4.25,3.5,1.25,3.5
Adolph Gottlieb,5,,3,American,Male,White,Not Hispanic or Latinx,Descent into Darkness,1995,63.5,11.1125,8.5725,13.335,8.89,95.26190625,118.54815,213.8100563,618.45,0.3457192275,janson,,,,,,,,,,,25,,4.375,3.375,5.25,3.5
Adolph Gottlieb,6,,3,American,Male,White,Not Hispanic or Latinx,Descent into Darkness,2001,63.5,10.795,8.255,14.605,8.89,89.112725,129.83845,218.951175,640.2,0.3420043346,janson,,,,,,,,,,,25,,4.25,3.25,5.75,3.5
Adolphe William Bouguereau,7,,4,French,Male,White,Not Hispanic or Latinx,Nymphs and a Satyr,2007,180.0225,13.97,9.8425,18.415,8.89,137.499725,163.70935,301.209075,623.5,0.4830939455,janson,,,,,,,,,,,70.875,,5.5,3.875,7.25,3.5
Adolphe William Bouguereau,8,,4,French,Male,White,Not Hispanic or Latinx,Nymphs and a Satyr,2011,180.0225,13.0175,9.2075,10.795,8.89,119.8586313,95.96755,215.8261813,616.59,0.3500319195,janson,,,,,,,,,,,70.875,,5.125,3.625,4.25,3.5
Albert Bierstadt,7,,5,German-American,Male,White,Not Hispanic or Latinx,"The Rocky Mountains, Lander's Peak",2007,306.705,8.255,12.7,25.4,8.89,104.8385,225.806,330.6445,623.5,0.5303039294,janson,,,,,,,,,,,120.75,,3.25,5,10,3.5
Albert Pinkham Ryder,7,,6,American,Male,White,Not Hispanic or Latinx,Siegfried and the Rhine Maidens,2007,52.07,8.5725,8.89,10.16,8.89,76.209525,90.3224,166.531925,623.5,0.267092101,janson,,,,,,,,,,,20.5,,3.375,3.5,4,3.5
Albert Pinkham Ryder,8,,6,American,Male,White,Not Hispanic or Latinx,Siegfried and the Rhine Maidens,2011,52.07,8.5725,8.89,12.3825,8.89,76.209525,110.080425,186.28995,616.59,0.3021293728,janson,,,,,,,,,,,20.5,,3.375,3.5,4.875,3.5
