,artist_name,artist_unique_id,edition_number,year,artist_nationality,artist_nationality_other,artist_gender,artist_race,artist_ethnicity,book,space_ratio_per_page_total,moma_count,moma_count_to_date,whitney_count,whitney_count_to_date
1,Aaron Douglas,2,9,1991,American,American,Male,Black or African American,Not Hispanic or Latinx,gardner,0.3533657745,0,0,0,0
2,Aaron Douglas,2,10,1996,American,American,Male,Black or African American,Not Hispanic or Latinx,gardner,0.3739470004,0,0,0,0
3,Aaron Douglas,2,11,2001,American,American,Male,Black or African American,Not Hispanic or Latinx,gardner,0.3032593292,0,0,0,0
4,Aaron Douglas,2,12,2005,American,American,Male,Black or African American,Not Hispanic or Latinx,gardner,0.3770489311,0,0,0,0
5,Aaron Douglas,2,13,2009,American,American,Male,Black or African American,Not Hispanic or Latinx,gardner,0.3984096898,0,0,0,0
6,Aaron Douglas,2,14,2013,American,American,Male,Black or African American,Not Hispanic or Latinx,gardner,0.4528685683,0,0,0,0
7,Aaron Douglas,2,15,2016,American,American,Male,Black or African American,Not Hispanic or Latinx,gardner,0.4822638008,0,0,0,0
8,Aaron Douglas,2,16,2020,American,American,Male,Black or African American,Not Hispanic or Latinx,gardner,0.543737727,0,0,0,0
9,Adélaïde Labille-Guiard,4,14,2013,French,French,Female,White,Not Hispanic or Latinx,gardner,0.4093045475,0,0,0,0
10,Adélaïde Labille-Guiard,4,15,2016,French,French,Female,White,Not Hispanic or Latinx,gardner,0.4125560538,0,0,0,0
11,Adélaïde Labille-Guiard,4,16,2020,French,French,Female,White,Not Hispanic or Latinx,gardner,0.5344869907,0,0,0,0
12,Adolphe William Bouguereau,6,5,1970,French,French,Male,White,Not Hispanic or Latinx,gardner,0.2957539022,0,0,0,0
13,Adolphe William Bouguereau,6,6,1975,French,French,Male,White,Not Hispanic or Latinx,gardner,0.2980450807,0,0,0,0
14,Adolphe William Bouguereau,6,7,1980,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4005417957,0,0,0,0
15,Adolphe William Bouguereau,6,8,1986,French,French,Male,White,Not Hispanic or Latinx,gardner,0.5319994471,0,0,0,0
16,Adolphe William Bouguereau,6,9,1991,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3523114355,0,0,0,0
17,Adolphe William Bouguereau,6,10,1996,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3898229938,0,0,0,0
18,Adolphe William Bouguereau,6,11,2001,French,French,Male,White,Not Hispanic or Latinx,gardner,0.2182185876,0,0,0,0
