"","artist_name","edition_number","year","artist_nationality","artist_nationality_other","artist_gender","artist_race","artist_ethnicity","book","space_ratio_per_page_total","artist_unique_id","moma_count_to_year","whitney_count_to_year","artist_race_nwi"
"1","Aaron Douglas",9,1991,"American","American","Male","Black or African American","Not Hispanic or Latino origin","Gardner",0.3533657745,2,0,0,"Non-White"
"2","Aaron Douglas",10,1996,"American","American","Male","Black or African American","Not Hispanic or Latino origin","Gardner",0.3739470004,2,0,0,"Non-White"
"3","Aaron Douglas",11,2001,"American","American","Male","Black or African American","Not Hispanic or Latino origin","Gardner",0.3032593292,2,0,0,"Non-White"
"4","Aaron Douglas",12,2005,"American","American","Male","Black or African American","Not Hispanic or Latino origin","Gardner",0.3770489311,2,0,0,"Non-White"
"5","Aaron Douglas",13,2009,"American","American","Male","Black or African American","Not Hispanic or Latino origin","Gardner",0.3984096898,2,0,0,"Non-White"
"6","Aaron Douglas",14,2013,"American","American","Male","Black or African American","Not Hispanic or Latino origin","Gardner",0.4528685683,2,0,0,"Non-White"
"7","Aaron Douglas",15,2016,"American","American","Male","Black or African American","Not Hispanic or Latino origin","Gardner",0.4822638008,2,0,0,"Non-White"
"8","Aaron Douglas",16,2020,"American","American","Male","Black or African American","Not Hispanic or Latino origin","Gardner",0.543737727,2,0,0,"Non-White"
"9","Adélaïde Labille-Guiard",14,2013,"French","French","Female","White","Not Hispanic or Latino origin","Gardner",0.4093045475,4,0,0,"White"
"10","Adélaïde Labille-Guiard",15,2016,"French","French","Female","White","Not Hispanic or Latino origin","Gardner",0.4125560538,4,0,0,"White"
"11","Adélaïde Labille-Guiard",16,2020,"French","French","Female","White","Not Hispanic or Latino origin","Gardner",0.5344869907,4,0,0,"White"
"12","Adolphe William Bouguereau",5,1970,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.2957539022,6,0,0,"White"
"13","Adolphe William Bouguereau",6,1975,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.2980450807,6,0,0,"White"
"14","Adolphe William Bouguereau",7,1980,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.4005417957,6,0,0,"White"
"15","Adolphe William Bouguereau",8,1986,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.5319994471,6,0,0,"White"
"16","Adolphe William Bouguereau",9,1991,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.3523114355,6,0,0,"White"
"17","Adolphe William Bouguereau",10,1996,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.3898229938,6,0,0,"White"
"18","Adolphe William Bouguereau",11,2001,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.2182185876,6,0,0,"White"
"19","Adolphe William Bouguereau",12,2005,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.2714168415,6,0,0,"White"
"20","Adolphe William Bouguereau",13,2009,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.293791318,6,0,0,"White"
"21","Albert Bierstadt",11,2001,"German-American","Other","Male","White","Not Hispanic or Latino origin","Gardner",0.4561289561,7,2,0,"White"
"22","Albert Bierstadt",12,2005,"German-American","Other","Male","White","Not Hispanic or Latino origin","Gardner",0.4572575495,7,2,0,"White"
"23","Albert Bierstadt",13,2009,"German-American","Other","Male","White","Not Hispanic or Latino origin","Gardner",0.3675280847,7,2,0,"White"
"24","Albert Bierstadt",14,2013,"German-American","Other","Male","White","Not Hispanic or Latino origin","Gardner",0.3738461776,7,2,0,"White"
"25","Albert Bierstadt",15,2016,"German-American","Other","Male","White","Not Hispanic or Latino origin","Gardner",0.5057677439,7,2,0,"White"
"26","Albert Bierstadt",16,2020,"German-American","Other","Male","White","Not Hispanic or Latino origin","Gardner",0.4063573883,7,2,0,"White"
"27","Albert Pinkham Ryder",2,1936,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3518634513,8,1,0,"White"
"28","Albert Pinkham Ryder",3,1948,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4685067233,8,1,0,"White"
"29","Albert Pinkham Ryder",4,1959,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3145704282,8,1,0,"White"
"30","Albert Pinkham Ryder",7,1980,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4652054602,8,1,0,"White"
"31","Albert Pinkham Ryder",8,1986,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4762250328,8,1,0,"White"
"32","Albert Pinkham Ryder",9,1991,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3695052717,8,1,0,"White"
"33","Albert Pinkham Ryder",10,1996,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4611882269,8,1,0,"White"
"34","Alexander Gardner",10,1996,"Scottish","Other","Male","White","Not Hispanic or Latino origin","Gardner",0.347907643,12,0,0,"White"
"35","Alexandre Cabanel",4,1959,"French","French","Male","White","Not Hispanic or Latino origin","Gardner",0.501885268,14,0,0,"White"
"36","Alfred Stieglitz",4,1959,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4146781578,15,2,0,"White"
"37","Alfred Stieglitz",9,1991,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4782481752,15,3,0,"White"
"38","Alfred Stieglitz",10,1996,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.5506292418,15,4,0,"White"
"39","Alfred Stieglitz",11,2001,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.5125029523,15,4,0,"White"
"40","Alfred Stieglitz",12,2005,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.5085150382,15,4,0,"White"
"41","Alfred Stieglitz",13,2009,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.5021342826,15,4,1,"White"
"42","Alfred Stieglitz",14,2013,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4901299062,15,4,1,"White"
"43","Alfred Stieglitz",15,2016,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4993350858,15,4,1,"White"
"44","Alfred Stieglitz",16,2020,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.4872974963,15,4,2,"White"
"45","Alfredo Guido",3,1948,"Argentine","Other","Male","White","Not Hispanic or Latino origin","Gardner",0.305623605,16,0,0,"White"
"46","Alvin Langdon Coburn",9,1991,"American","American","Male","White","Not Hispanic or Latino origin","Gardner",0.3215571776,17,3,0,"White"
"47","Ana Mendieta",11,2001,"Cuban-American","Other","Female","White","Hispanic or Latino origin","Gardner",0.3799598488,18,1,0,"White"
"48","Ana Mendieta",13,2009,"Cuban-American","Other","Female","White","Hispanic or Latino origin","Gardner",0.3898109195,18,1,2,"White"
"49","Ana Mendieta",14,2013,"Cuban-American","Other","Female","White","Hispanic or Latino origin","Gardner",0.3826452776,18,1,2,"White"
"50","Ana Mendieta",15,2016,"Cuban-American","Other","Female","White","Hispanic or Latino origin","Gardner",0.4267821246,18,1,2,"White"
"51","Ana Mendieta",16,2020,"Cuban-American","Other","Female","White","Hispanic or Latino origin","Gardner",0.4244753314,18,1,3,"White"
"52","Ando Hiroshige",14,2013,"Japanese","Other","Male","Asian","Not Hispanic or Latino origin","Gardner",0.5907570924,19,0,0,"Non-White"
"53","Ando Hiroshige",15,2016,"Japanese","Other","Male","Asian","Not Hispanic or Latino origin","Gardner",0.8525127571,19,0,0,"Non-White"
"54","Ando Hiroshige",16,2020,"Japanese","Other","Male","Asian","Not Hispanic or Latino origin","Gardner",0.5706308297,19,0,0,"Non-White"
